start_date,end_date,cluster2017,timeframe,cluster2017_nf,Crimes_pt1_property_per1000,Crimes_pt1_violent_per1000,indc
1-Jan-11,31-Dec-11,"Howard University, Le Droit Park, Cardozo/Shaw",2011,Cluster 3,80,25,1
1-Jan-12,31-Dec-12,"Howard University, Le Droit Park, Cardozo/Shaw",2012,Cluster 3,107,22,1
1-Jan-13,31-Dec-13,"Howard University, Le Droit Park, Cardozo/Shaw",2013,Cluster 3,105,22,1
1-Jan-14,31-Dec-14,"Howard University, Le Droit Park, Cardozo/Shaw",2014,Cluster 3,116,16,1
1-Jan-15,31-Dec-15,"Howard University, Le Droit Park, Cardozo/Shaw",2015,Cluster 3,112,14,1
1-Jan-16,31-Dec-16,"Howard University, Le Droit Park, Cardozo/Shaw",2016,Cluster 3,136,14,1
1-Jan-00,31-Dec-00,"Georgetown, Burleith/Hillandale",2000,Cluster 4,63,7.6,1
1-Jan-01,31-Dec-01,"Georgetown, Burleith/Hillandale",2001,Cluster 4,63,7.3,1
1-Jan-02,31-Dec-02,"Georgetown, Burleith/Hillandale",2002,Cluster 4,51,6.8,1
1-Jan-03,31-Dec-03,"Georgetown, Burleith/Hillandale",2003,Cluster 4,51,6.6,1
1-Jan-04,31-Dec-04,"Georgetown, Burleith/Hillandale",2004,Cluster 4,52,6.2,1
1-Jan-05,31-Dec-05,"Georgetown, Burleith/Hillandale",2005,Cluster 4,54,5.3,1
1-Jan-06,31-Dec-06,"Georgetown, Burleith/Hillandale",2006,Cluster 4,48,6.4,1
1-Jan-07,31-Dec-07,"Georgetown, Burleith/Hillandale",2007,Cluster 4,53,7,1
1-Jan-08,31-Dec-08,"Georgetown, Burleith/Hillandale",2008,Cluster 4,56,4.5,1
1-Jan-09,31-Dec-09,"Georgetown, Burleith/Hillandale",2009,Cluster 4,53,4.3,1
1-Jan-10,31-Dec-10,"Georgetown, Burleith/Hillandale",2010,Cluster 4,49,6.1,1
1-Jan-11,31-Dec-11,"Georgetown, Burleith/Hillandale",2011,Cluster 4,53,4.5,1
1-Jan-12,31-Dec-12,"Georgetown, Burleith/Hillandale",2012,Cluster 4,55,3,1
1-Jan-13,31-Dec-13,"Georgetown, Burleith/Hillandale",2013,Cluster 4,56,3.2,1
1-Jan-14,31-Dec-14,"Georgetown, Burleith/Hillandale",2014,Cluster 4,63,3.2,1
1-Jan-15,31-Dec-15,"Georgetown, Burleith/Hillandale",2015,Cluster 4,62,2.9,1
1-Jan-16,31-Dec-16,"Georgetown, Burleith/Hillandale",2016,Cluster 4,56,3.3,1
1-Jan-00,31-Dec-00,"West End, Foggy Bottom, GWU",2000,Cluster 5,65,5.6,1
1-Jan-01,31-Dec-01,"West End, Foggy Bottom, GWU",2001,Cluster 5,48,5.5,1
1-Jan-02,31-Dec-02,"West End, Foggy Bottom, GWU",2002,Cluster 5,45,5.1,1
1-Jan-03,31-Dec-03,"West End, Foggy Bottom, GWU",2003,Cluster 5,41,4.7,1
1-Jan-04,31-Dec-04,"West End, Foggy Bottom, GWU",2004,Cluster 5,35,3.4,1
1-Jan-05,31-Dec-05,"West End, Foggy Bottom, GWU",2005,Cluster 5,33,2.8,1
