timeframe,cluster2017,cluster2017_nf,start_date,end_date,PctPoorPersons,PctPoorChildren,PctPoorElderly,AvgFamilyIncAdj,PctPoorPersons_m,PctPoorChildren_m,PctPoorElderly_m,AvgFamilyIncAdj_m,PctChgAvgFamilyIncAdj,Tanf_client,Fs_client
2012-16,Rock Creek Park,Cluster 41,1-Jan-12,31-Dec-16,9,5.6,11,176345,8.5,17,16,108673,X,X,X
2012-16,Saint Elizabeths,Cluster 43,1-Jan-12,31-Dec-16,30,39,30,61471,27,31,41,48993,X,X,X
2012-16,Joint Base Anacostia-Bolling,Cluster 44,1-Jan-12,31-Dec-16,17,15,14,87904,8.3,6.2,26,15956,X,X,X
2012-16,"Arboretum, Anacostia River",Cluster 46,1-Jan-12,31-Dec-16,18,4.5,18,97179,24,25,47,88798,X,X,X
2000,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-00,31-Dec-00,10,26,6.8,175750,.,.,.,.,X,X,X
2000,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,1-Jan-00,31-Dec-00,25,35,27,70518,.,.,.,.,X,X,X
2000,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,1-Jan-00,31-Dec-00,28,43,38,70016,.,.,.,.,X,X,X
2000,"Georgetown, Burleith/Hillandale",Cluster 4,1-Jan-00,31-Dec-00,15,5.7,7.6,330998,.,.,.,.,X,X,X
2000,"West End, Foggy Bottom, GWU",Cluster 5,1-Jan-00,31-Dec-00,28,11,11,281710,.,.,.,.,X,X,X
2000,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,1-Jan-00,31-Dec-00,12,24,14,166333,.,.,.,.,X,X,X
2000,"Shaw, Logan Circle",Cluster 7,1-Jan-00,31-Dec-00,25,33,42,72251,.,.,.,.,X,X,X
2000,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,1-Jan-00,31-Dec-00,31,34,40,67003,.,.,.,.,X,X,X
2000,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,1-Jan-00,31-Dec-00,22,42,20,72739,.,.,.,.,X,X,X
2000,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,1-Jan-00,31-Dec-00,4.3,0.9,11,244975,.,.,.,.,X,X,X
2000,"Friendship Heights, American University Park, Tenleytown",Cluster 11,1-Jan-00,31-Dec-00,4.7,1.5,5.3,252323,.,.,.,.,X,X,X
2000,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,1-Jan-00,31-Dec-00,6.5,3.8,5,263795,.,.,.,.,X,X,X
2000,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1-Jan-00,31-Dec-00,7.1,2.2,1.2,352505,.,.,.,.,X,X,X
2000,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,1-Jan-00,31-Dec-00,13,8.2,3.4,199241,.,.,.,.,X,X,X
2000,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1-Jan-00,31-Dec-00,4.7,0.9,4.7,270245,.,.,.,.,X,X,X
2000,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,1-Jan-00,31-Dec-00,4.9,6.9,5.6,203395,.,.,.,.,X,X,X
2000,"Takoma, Brightwood, Manor Park",Cluster 17,1-Jan-00,31-Dec-00,12,17,10,93876,.,.,.,.,X,X,X
2000,"Brightwood Park, Crestwood, Petworth",Cluster 18,1-Jan-00,31-Dec-00,15,21,14,94992,.,.,.,.,X,X,X
2000,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,1-Jan-00,31-Dec-00,9.7,11,9.2,88371,.,.,.,.,X,X,X
2000,"North Michigan Park, Michigan Park, University Heights",Cluster 20,1-Jan-00,31-Dec-00,9.6,11,7.5,96674,.,.,.,.,X,X,X
