timeframe,cluster2017,cluster2017_nf,start_date,end_date,PctUnemployed,Pct16andOverEmployed,PctUnemployed_m,Pct16andOverEmployed_m,indc
1990,"Union Station, Stanton Park, Kingman Park",Cluster 25,1-Jan-90,31-Dec-90,9,63,.,.,1
1990,"Capitol Hill, Lincoln Park",Cluster 26,1-Jan-90,31-Dec-90,5.1,64,.,.,1
1990,"Near Southeast, Navy Yard",Cluster 27,1-Jan-90,31-Dec-90,21,47,.,.,1
1990,Historic Anacostia,Cluster 28,1-Jan-90,31-Dec-90,14,51,.,.,1
1990,"Eastland Gardens, Kenilworth",Cluster 29,1-Jan-90,31-Dec-90,8.8,57,.,.,1
1990,"Mayfair, Hillbrook, Mahaning Heights",Cluster 30,1-Jan-90,31-Dec-90,9.4,54,.,.,1
1990,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",Cluster 31,1-Jan-90,31-Dec-90,11,51,.,.,1
1990,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,1-Jan-90,31-Dec-90,7.5,59,.,.,1
1990,"Capitol View, Marshall Heights, Benning Heights",Cluster 33,1-Jan-90,31-Dec-90,11,54,.,.,1
1990,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Cluster 34,1-Jan-90,31-Dec-90,6.3,65,.,.,1
1990,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Cluster 35,1-Jan-90,31-Dec-90,3,68,.,.,1
1990,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,1-Jan-90,31-Dec-90,15,44,.,.,1
1990,"Sheridan, Barry Farm, Buena Vista",Cluster 37,1-Jan-90,31-Dec-90,14,53,.,.,1
1990,"Douglas, Shipley Terrace",Cluster 38,1-Jan-90,31-Dec-90,16,52,.,.,1
1990,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,1-Jan-90,31-Dec-90,12,59,.,.,1
1990,Walter Reed,Cluster 40,1-Jan-90,31-Dec-90,0,100,.,.,1
1990,Rock Creek Park,Cluster 41,1-Jan-90,31-Dec-90,3.5,68,.,.,1
1990,Saint Elizabeths,Cluster 43,1-Jan-90,31-Dec-90,26,8.3,.,.,1
1990,Joint Base Anacostia-Bolling,Cluster 44,1-Jan-90,31-Dec-90,9.9,74,.,.,1
1990,"Arboretum, Anacostia River",Cluster 46,1-Jan-90,31-Dec-90,i,i,.,.,1
